Word	freqlivres	nblettres
abreuvés	0,27	8
abreuvés	0	8
abri	51,08	4
abri-refuge	0,07	11
abribus	0,14	7
abricot	0,68	7
abricot	1,15	7
abricotez	0	9
abricotier	0,14	10
abricotiers	0,27	11
abricotine	0,07	10
abricots	1,35	8
abris	5,68	5
abrita	0,68	6
abritai	0,07	7
abritaient	1,49	10
abritais	0,14	8
abritait	4,53	8
abritant	0	8
abritant	1,82	8
abrite	2,7	6
abritent	1,15	8
abriter	6,96	7
abritera	0,07	8
abriterait	0,2	10
abriterons	0	10
abriteront	0,07	10
abrites	0,07	7
abritez	0,2	7
abritiez	0	8
abritions	0,14	9
abritons	0	8
abritâmes	0	9
abritèrent	0,07	10
abrité	3,11	6
abrité	0,68	6
abritée	1,15	7
abritée	0,34	7
abritées	0,54	8
abrités	1,08	7
abrités	0,07	7
abrogation	0,14	10
abrogent	0	8
abroger	0,07	7
abrogé	0	6
abrogé	0	6
abrogée	0	7
abrogées	0,14	8
abrogés	0,14	7
abrupt	2,23	6
abrupt	0,34	6
abrupte	2,84	7
abruptement	2,03	11
abruptes	1,55	8
abrupts	0,81	7
abrupts	0,14	7
abruti	3,04	6
abruti	4,39	6
abruti	1,76	6
abrutie	0,68	7
abrutie	0,47	7
abrutie	0,34	7
abruties	0,07	8
abruties	0	8
abruties	0,07	8
abrutir	0,95	7
abrutira	0,07	8
abrutis	0,88	7
abrutis	1,82	7
abrutis	1,55	7
abrutissaient	0,2	13
abrutissais	0,07	11
abrutissait	0,27	11
abrutissant	0,27	11
abrutissant	0,14	11
abrutissante	0,27	12
abrutissantes	0	13
abrutissants	0	12
abrutissement	1,42	13
abrutissent	0	11
abrutisseur	0,07	11
abrutissions	0,07	12
abrutit	0,41	7
abrège	1,28	6
abrègent	0,34	8
abrégea	0,14	7
abrégeai	0,07	8
abrégeaient	0,07	11
abrégeait	0,2	9
abrégeant	0,07	9
abrégeons	0,07	9
abréger	1,82	7
abrégera	0	8
abrégerai	0	9
abrégerait	0,07	10
abrégez	0,07	7
abrégeât	0,07	8
abrégé	0,41	6
abrégé	0,14	6
abrégé	0,47	6
abrégée	0,2	7
abrégée	0,2	7
abrégés	0,07	7
abrégés	0,07	7
abréviatif	0,07	10
abréviation	0,41	11
abréviations	0,54	12
abscisse	0	8
abscission	0,07	10
abscons	0,54	7
absconse	0,07	8
absconses	0,07	9
absence	72,5	7
absences	3,78	8
absent	18,18	6
absent	2,16	6
absenta	0,34	7
absentai	0,07	8
absentaient	0,14	11
absentais	0,14	9
absentait	1,15	9
absentant	0,07	9
absente	6,22	7
absente	1,49	7
absente	1,69	7
absenter	1,49	8
absentera	0,14	9
absenterai	0,07	10
absenterait	0,07	11
absentes	0,61	8
absentes	0,2	8
absentes	0	8
absents	4,8	7
absents	1,96	7
absentèrent	0,07	11
absenté	0,34	7
absentée	0,2	8
absentéisme	0,2	11
absentéiste	0	11
absentéiste	0	11
absentés	0,07	8
abside	1,55	6
absides	0,07	7
absidiales	0,14	10
absidiole	0,07	9
absinthant	0,07	10
absinthe	2,91	8
absolu	16,42	6
absolu	7,03	6
absolue	16,15	7
absolues	1,01	8
absolument	63,45	10
absolus	0,81	7
absolus	0,2	7
absolution	2,5	10
absolutisme	0,68	11
absolvaient	0,07	11
absolvait	0,27	9
absolvant	0,14	9
absolve	0	7
absolvent	0,2	9
absolves	0	8
absorba	2,03	7
absorbables	0,07	11
absorbai	0,07	8
absorbaient	0,68	11
absorbais	0,27	9
absorbait	3,11	9
absorbant	0,81	9
absorbant	0,14	9
absorbant	0,95	9
absorbante	0,27	10
absorbantes	0,2	11
absorbants	0,07	10
absorbe	3,38	7
absorbent	0,61	9
absorber	4,53	8
absorbera	0,07	9
absorberai	0	10
absorberaient	0,07	13
absorberait	0,14	11
absorbeur	0	9
absorbez	0	8
absorbions	0,07	10
absorbons	0,07	9
absorbèrent	0,41	11
absorbé	7,84	7
absorbé	2,3	7
absorbée	2,3	8
absorbée	0,61	8
absorbées	0,41	9
absorbées	0,34	9
absorbés	1,69	8
absorbés	0,47	8
absorption	1,89	10
absorptions	0,14	11
absoudrai	0	9
absoudrait	0,14	10
absoudre	1,55	8
absoudriez	0,07	10
absous	1,08	6
absous	0,68	6
absout	0,2	6
absoute	0,07	7
absoute	0,07	7
absoute	0,14	7
absoutes	0,07	8
abstenaient	0,07	11
abstenais	0,34	9
abstenait	0,81	9
abstenant	0,41	9
abstenez	0,07	8
absteniez	0	9
abstenions	0,07	10
abstenir	2,77	8
abstenons	0,2	9
abstention	1,28	10
abstentionniste	0	15
abstentionnistes	0,14	16
abstenu	0,81	7
abstenue	0,47	8
abstenue	0	8
abstenues	0	9
abstenus	0,14	8
abstiendrai	0	11
abstiendraient	0,07	14
abstiendrais	0	12
abstiendrait	0,07	12
abstiendras	0,07	11
abstiendrions	0,14	13
abstiendrons	0	12
abstiendront	0	12
abstienne	0,07	9
abstiennent	0,2	11
abstiennes	0	10
abstiens	0,14	8
abstient	0,34	8
abstinence	1,42	10
abstinences	0,2	11
abstinent	0	9
abstinente	0	10
abstinrent	0,07	10
abstins	0,41	7
abstint	0,81	7
abstraction	2,09	11
abstractions	0,88	12
abstraire	0,74	9
abstrais	0,07	8
abstrait	1,42	8
abstrait	3,85	8
abstrait	0,95	8
abstraite	0,2	9
abstraite	4,8	9
abstraitement	0,34	13
abstraites	0,2	10
abstraites	1,55	10
abstraits	0,54	9
abstraits	1,15	9
abstraits	0,41	9
abstrus	0,34	7
abstruse	0,14	8
abstruses	0,14	9
abstînt	0,27	7
absurde	24,8	7
absurde	4,73	7
absurdement	3,72	11
absurdes	6,15	8
absurdes	0,2	8
absurdistes	0,07	11
absurdité	5,54	9
absurdités	0,74	10
